session_id,session_name,session_date,session_time,registration_id,rating,comment
SES001,Workshop: Data Visualization,04/04/2025,4:00 am,REG255,4,"Excellent session, learned a lot."
SES002,Workshop: Data Visualization,03/04/2025,3:00 pm,REG467,5,"Great experience, loved it!"
SES003,Panel: Future of Tech,02/04/2025,2:00 am,REG407,4,Loved the interactive parts of the event.
SES004,Workshop: Data Visualization,01/04/2025,1:00 pm,REG353,4,"Amazing presentation, super helpful."
SES005,Panel: Future of Tech,31/03/2025,12:00 am,REG478,4,"Very helpful content, thanks!"
SES006,Fireside Chat: Innovation,30/03/2025,11:00 am,REG247,5,"Very helpful content, thanks!"
SES007,Panel: Future of Tech,29/03/2025,10:00 pm,REG470,5,Loved the interactive parts of the event.
SES008,Keynote: AI Trends,28/03/2025,9:00 am,REG424,5,Extremely informative workshop.
SES009,Panel: Future of Tech,27/03/2025,8:00 pm,REG002,4,"Very helpful content, thanks!"
SES010,Workshop: Data Visualization,26/03/2025,7:00 am,REG007,4,Everything was well organized and smooth.
SES011,Fireside Chat: Innovation,25/03/2025,6:00 pm,REG344,3,"Great insights, very useful."
SES012,Panel: Future of Tech,24/03/2025,5:00 am,REG046,4,Loved the interactive parts of the event.
SES013,Workshop: Data Visualization,23/03/2025,4:00 pm,REG465,4,"Very helpful content, thanks!"
SES014,Panel: Future of Tech,22/03/2025,3:00 am,REG057,4,The speaker was excellent and clear.
SES015,Fireside Chat: Innovation,21/03/2025,2:00 pm,REG428,2,poor 
SES016,Fireside Chat: Innovation,20/03/2025,1:00 am,REG294,2,unorganized 
SES017,Keynote: AI Trends,19/03/2025,12:00 pm,REG343,5,"Excellent session, learned a lot."
SES018,Fireside Chat: Innovation,18/03/2025,11:00 pm,REG253,4,Amazing delivery of the topic.
SES019,Workshop: Data Visualization,17/03/2025,10:00 am,REG077,4,"Excellent session, learned a lot."
SES020,Fireside Chat: Innovation,16/03/2025,9:00 pm,REG487,4,"Great experience, loved it!"
SES021,Fireside Chat: Innovation,15/03/2025,8:00 am,REG047,4,Loved the interactive parts of the event.
SES022,Workshop: Data Visualization,14/03/2025,7:00 pm,REG400,3,"Amazing presentation, super helpful."
SES023,Workshop: Data Visualization,13/03/2025,6:00 am,REG262,5,"Very helpful content, thanks!"
SES024,Fireside Chat: Innovation,12/03/2025,5:00 pm,REG039,3,"Very helpful content, thanks!"
SES025,Fireside Chat: Innovation,11/03/2025,4:00 am,REG374,2,Loved the interactive parts of the event.
SES026,Panel: Future of Tech,10/03/2025,3:00 pm,REG374,4,Extremely informative workshop.
SES027,Fireside Chat: Innovation,09/03/2025,2:00 am,REG052,5,"Very helpful content, thanks!"
SES028,Keynote: AI Trends,08/03/2025,1:00 pm,REG464,3,Everything was well organized and smooth.
SES029,Keynote: AI Trends,07/03/2025,12:00 am,REG432,4,"Great insights, very useful."
SES030,Keynote: AI Trends,06/03/2025,11:00 am,REG330,3,Loved the interactive parts of the event.
SES031,Keynote: AI Trends,05/03/2025,10:00 pm,REG449,4,"Very helpful content, thanks!"
SES032,Fireside Chat: Innovation,04/03/2025,9:00 am,REG234,2,The speaker was excellent and clear.
SES033,Panel: Future of Tech,03/03/2025,8:00 pm,REG452,4,Loved the interactive parts of the event.
SES034,Workshop: Data Visualization,02/03/2025,7:00 am,REG436,2,"Great insights, very useful."
SES035,Fireside Chat: Innovation,01/03/2025,6:00 pm,REG238,3,"Excellent session, learned a lot."
SES036,Breakout: Cloud Computing,28/02/2025,5:00 am,REG026,5,Amazing delivery of the topic.
SES037,Fireside Chat: Innovation,27/02/2025,4:00 pm,REG052,5,"Excellent session, learned a lot."
SES038,Keynote: AI Trends,26/02/2025,3:00 am,REG447,5,"Great experience, loved it!"
SES039,Breakout: Cloud Computing,25/02/2025,2:00 pm,REG090,3,Loved the interactive parts of the event.
SES040,Fireside Chat: Innovation,24/02/2025,1:00 am,REG448,4,"Amazing presentation, super helpful."
SES041,Panel: Future of Tech,23/02/2025,12:00 pm,REG024,5,"Very helpful content, thanks!"
SES042,Panel: Future of Tech,22/02/2025,11:00 pm,REG437,5,"Very helpful content, thanks!"
SES043,Breakout: Cloud Computing,21/02/2025,10:00 am,REG449,3,Loved the interactive parts of the event.
SES044,Workshop: Data Visualization,20/02/2025,9:00 pm,REG485,5,Extremely informative workshop.
SES045,Breakout: Cloud Computing,19/02/2025,8:00 am,REG444,3,"Very helpful content, thanks!"
SES046,Panel: Future of Tech,18/02/2025,7:00 pm,REG347,5,Everything was well organized and smooth.
SES047,Breakout: Cloud Computing,17/02/2025,6:00 am,REG464,4,"Great insights, very useful."
SES048,Keynote: AI Trends,16/02/2025,5:00 pm,REG249,5,Loved the interactive parts of the event.
SES049,Keynote: AI Trends,15/02/2025,4:00 am,REG379,4,"Very helpful content, thanks!"
SES050,Workshop: Data Visualization,14/02/2025,3:00 pm,REG060,4,The speaker was excellent and clear.
SES051,Breakout: Cloud Computing,13/02/2025,2:00 am,REG049,4,Loved the interactive parts of the event.
SES052,Breakout: Cloud Computing,12/02/2025,1:00 pm,REG436,5,"Great insights, very useful."
SES053,Breakout: Cloud Computing,11/02/2025,12:00 am,REG389,5,"Excellent session, learned a lot."
SES054,Breakout: Cloud Computing,10/02/2025,11:00 am,REG456,5,Amazing delivery of the topic.
SES055,Workshop: Data Visualization,09/02/2025,10:00 pm,REG024,4,"Excellent session, learned a lot."
SES056,Panel: Future of Tech,08/02/2025,9:00 am,REG005,4,"Great experience, loved it!"
SES057,Fireside Chat: Innovation,07/02/2025,8:00 pm,REG437,3,Loved the interactive parts of the event.
SES058,Workshop: Data Visualization,06/02/2025,7:00 am,REG074,4,"Amazing presentation, super helpful."
SES059,Panel: Future of Tech,05/02/2025,6:00 pm,REG340,4,"Very helpful content, thanks!"
SES060,Panel: Future of Tech,04/02/2025,5:00 am,REG332,4,"Very helpful content, thanks!"
SES061,Panel: Future of Tech,03/02/2025,4:00 pm,REG088,2,Loved the interactive parts of the event.
SES062,Breakout: Cloud Computing,02/02/2025,3:00 am,REG469,2,Extremely informative workshop.
SES063,Workshop: Data Visualization,01/02/2025,2:00 pm,REG484,5,"Very helpful content, thanks!"
SES064,Panel: Future of Tech,31/01/2025,1:00 am,REG458,4,Everything was well organized and smooth.
SES065,Fireside Chat: Innovation,30/01/2025,12:00 pm,REG225,4,"Great insights, very useful."
SES066,Fireside Chat: Innovation,29/01/2025,11:00 pm,REG490,4,Loved the interactive parts of the event.
SES067,Keynote: AI Trends,28/01/2025,10:00 am,REG349,4,"Very helpful content, thanks!"
SES068,Panel: Future of Tech,27/01/2025,9:00 pm,REG438,3,The speaker was excellent and clear.
SES069,Workshop: Data Visualization,26/01/2025,8:00 am,REG450,5,Loved the interactive parts of the event.
SES070,Breakout: Cloud Computing,25/01/2025,7:00 pm,REG376,3,"Great insights, very useful."
SES071,Keynote: AI Trends,24/01/2025,6:00 am,REG048,2,"Excellent session, learned a lot."
SES072,Panel: Future of Tech,23/01/2025,5:00 pm,REG494,4,Amazing delivery of the topic.
SES073,Breakout: Cloud Computing,22/01/2025,4:00 am,REG448,5,"Excellent session, learned a lot."
SES074,Workshop: Data Visualization,21/01/2025,3:00 pm,REG476,3,"Great experience, loved it!"
SES075,Workshop: Data Visualization,20/01/2025,2:00 am,REG094,4,Loved the interactive parts of the event.
SES076,Keynote: AI Trends,19/01/2025,1:00 pm,REG059,3,"Amazing presentation, super helpful."
SES077,Keynote: AI Trends,18/01/2025,12:00 am,REG206,4,"Very helpful content, thanks!"
SES078,Panel: Future of Tech,17/01/2025,11:00 am,REG205,2,"Very helpful content, thanks!"
SES079,Breakout: Cloud Computing,16/01/2025,10:00 pm,REG493,4,Loved the interactive parts of the event.
SES080,Fireside Chat: Innovation,15/01/2025,9:00 am,REG234,2,Extremely informative workshop.
SES081,Breakout: Cloud Computing,14/01/2025,8:00 pm,REG440,3,"Very helpful content, thanks!"
SES082,Workshop: Data Visualization,13/01/2025,7:00 am,REG428,5,Everything was well organized and smooth.
SES083,Workshop: Data Visualization,12/01/2025,6:00 pm,REG498,5,"Great insights, very useful."
SES084,Panel: Future of Tech,11/01/2025,5:00 am,REG354,5,Loved the interactive parts of the event.
SES085,Fireside Chat: Innovation,10/01/2025,4:00 pm,REG436,3,"Very helpful content, thanks!"
SES086,Panel: Future of Tech,09/01/2025,3:00 am,REG245,4,The speaker was excellent and clear.
SES087,Workshop: Data Visualization,08/01/2025,2:00 pm,REG440,5,Loved the interactive parts of the event.
SES088,Workshop: Data Visualization,07/01/2025,1:00 am,REG246,5,"Great insights, very useful."
SES089,Breakout: Cloud Computing,06/01/2025,12:00 pm,REG333,3,"Excellent session, learned a lot."
SES090,Fireside Chat: Innovation,05/01/2025,11:00 pm,REG454,5,Amazing delivery of the topic.
SES091,Breakout: Cloud Computing,04/01/2025,10:00 am,REG409,3,"Excellent session, learned a lot."
SES092,Breakout: Cloud Computing,03/01/2025,9:00 pm,REG086,5,"Great experience, loved it!"
SES093,Panel: Future of Tech,02/01/2025,8:00 am,REG058,4,Loved the interactive parts of the event.
SES094,Breakout: Cloud Computing,01/01/2025,7:00 pm,REG068,3,"Amazing presentation, super helpful."
SES095,Keynote: AI Trends,31/12/2024,6:00 am,REG357,2,"Very helpful content, thanks!"
SES096,Keynote: AI Trends,30/12/2024,5:00 pm,REG372,3,"Very helpful content, thanks!"
SES097,Breakout: Cloud Computing,29/12/2024,4:00 am,REG034,5,Loved the interactive parts of the event.
SES098,Fireside Chat: Innovation,28/12/2024,3:00 pm,REG483,4,Extremely informative workshop.
SES099,Breakout: Cloud Computing,27/12/2024,2:00 am,REG433,4,"Very helpful content, thanks!"
SES100,Workshop: Data Visualization,26/12/2024,1:00 pm,REG082,2,Everything was well organized and smooth.
SES101,Workshop: Data Visualization,25/12/2024,12:00 am,REG054,5,"Great insights, very useful."
SES102,Fireside Chat: Innovation,24/12/2024,11:00 am,REG244,5,Loved the interactive parts of the event.
SES103,Panel: Future of Tech,23/12/2024,10:00 pm,REG467,4,"Very helpful content, thanks!"
SES104,Keynote: AI Trends,22/12/2024,9:00 am,REG303,4,The speaker was excellent and clear.
SES105,Keynote: AI Trends,21/12/2024,8:00 pm,REG248,2,Loved the interactive parts of the event.
SES106,Panel: Future of Tech,20/12/2024,7:00 am,REG444,2,"Great insights, very useful."
SES107,Breakout: Cloud Computing,19/12/2024,6:00 pm,REG292,4,"Excellent session, learned a lot."
SES108,Fireside Chat: Innovation,18/12/2024,5:00 am,REG348,4,Amazing delivery of the topic.
SES109,Breakout: Cloud Computing,17/12/2024,4:00 pm,REG225,2,"Excellent session, learned a lot."
SES110,Panel: Future of Tech,16/12/2024,3:00 am,REG093,5,"Great experience, loved it!"
SES111,Fireside Chat: Innovation,15/12/2024,2:00 pm,REG343,4,Loved the interactive parts of the event.
SES112,Keynote: AI Trends,14/12/2024,1:00 am,REG495,4,"Amazing presentation, super helpful."
SES113,Keynote: AI Trends,13/12/2024,12:00 pm,REG399,2,"Very helpful content, thanks!"
SES114,Breakout: Cloud Computing,12/12/2024,11:00 pm,REG484,4,"Very helpful content, thanks!"
SES115,Workshop: Data Visualization,11/12/2024,10:00 am,REG344,4,Loved the interactive parts of the event.
SES116,Panel: Future of Tech,10/12/2024,9:00 pm,REG045,3,Extremely informative workshop.
SES117,Panel: Future of Tech,09/12/2024,8:00 am,REG442,4,"Very helpful content, thanks!"
SES118,Breakout: Cloud Computing,08/12/2024,7:00 pm,REG354,4,Everything was well organized and smooth.
SES119,Panel: Future of Tech,07/12/2024,6:00 am,REG454,4,"Great insights, very useful."
SES120,Keynote: AI Trends,06/12/2024,5:00 pm,REG430,4,Loved the interactive parts of the event.
SES121,Breakout: Cloud Computing,05/12/2024,4:00 am,REG373,2,"Very helpful content, thanks!"
SES122,Keynote: AI Trends,04/12/2024,3:00 pm,REG499,3,The speaker was excellent and clear.
SES123,Fireside Chat: Innovation,03/12/2024,2:00 am,REG457,5,Loved the interactive parts of the event.
SES124,Fireside Chat: Innovation,02/12/2024,1:00 pm,REG067,4,"Great insights, very useful."
SES125,Workshop: Data Visualization,01/12/2024,12:00 am,REG248,5,"Excellent session, learned a lot."
SES126,Panel: Future of Tech,30/11/2024,11:00 am,REG472,2,Amazing delivery of the topic.
SES127,Fireside Chat: Innovation,29/11/2024,10:00 pm,REG250,3,"Excellent session, learned a lot."
SES128,Panel: Future of Tech,28/11/2024,9:00 am,REG058,4,"Great experience, loved it!"
SES129,Keynote: AI Trends,27/11/2024,8:00 pm,REG455,4,Loved the interactive parts of the event.
SES130,Breakout: Cloud Computing,26/11/2024,7:00 am,REG244,4,"Amazing presentation, super helpful."
SES131,Fireside Chat: Innovation,25/11/2024,6:00 pm,REG226,4,"Very helpful content, thanks!"
SES132,Breakout: Cloud Computing,24/11/2024,5:00 am,REG024,4,"Very helpful content, thanks!"
SES133,Fireside Chat: Innovation,23/11/2024,4:00 pm,REG033,3,Loved the interactive parts of the event.
SES134,Panel: Future of Tech,22/11/2024,3:00 am,REG434,4,Extremely informative workshop.
SES135,Fireside Chat: Innovation,21/11/2024,2:00 pm,REG336,4,"Very helpful content, thanks!"
SES136,Fireside Chat: Innovation,20/11/2024,1:00 am,REG464,4,Everything was well organized and smooth.
SES137,Keynote: AI Trends,19/11/2024,12:00 pm,REG007,5,"Great insights, very useful."
SES138,Workshop: Data Visualization,18/11/2024,11:00 pm,REG364,4,Loved the interactive parts of the event.
SES139,Keynote: AI Trends,17/11/2024,10:00 am,REG445,5,"Very helpful content, thanks!"
SES140,Breakout: Cloud Computing,16/11/2024,9:00 pm,REG348,4,The speaker was excellent and clear.
SES141,Panel: Future of Tech,15/11/2024,8:00 am,REG269,5,Loved the interactive parts of the event.
SES142,Panel: Future of Tech,14/11/2024,7:00 pm,REG393,4,"Great insights, very useful."
SES143,Fireside Chat: Innovation,13/11/2024,6:00 am,REG384,3,"Excellent session, learned a lot."
SES144,Panel: Future of Tech,12/11/2024,5:00 pm,REG296,3,Amazing delivery of the topic.
SES145,Workshop: Data Visualization,11/11/2024,4:00 am,REG374,5,"Excellent session, learned a lot."
SES146,Workshop: Data Visualization,10/11/2024,3:00 pm,REG290,5,"Great experience, loved it!"
SES147,Fireside Chat: Innovation,09/11/2024,2:00 am,REG445,3,Loved the interactive parts of the event.
SES148,Fireside Chat: Innovation,08/11/2024,1:00 pm,REG490,3,"Amazing presentation, super helpful."
SES149,Breakout: Cloud Computing,07/11/2024,12:00 am,REG343,5,"Very helpful content, thanks!"
SES150,Fireside Chat: Innovation,06/11/2024,11:00 am,REG448,5,"Very helpful content, thanks!"
SES151,Keynote: AI Trends,05/11/2024,10:00 pm,REG474,3,Loved the interactive parts of the event.
SES152,Keynote: AI Trends,04/11/2024,9:00 am,REG266,4,Extremely informative workshop.
SES153,Keynote: AI Trends,03/11/2024,8:00 pm,REG268,4,"Very helpful content, thanks!"
SES154,Workshop: Data Visualization,02/11/2024,7:00 am,REG353,4,Everything was well organized and smooth.
SES155,Panel: Future of Tech,01/11/2024,6:00 pm,REG359,5,"Great insights, very useful."
SES156,Breakout: Cloud Computing,31/10/2024,5:00 am,REG347,4,Loved the interactive parts of the event.
SES157,Fireside Chat: Innovation,30/10/2024,4:00 pm,REG049,2,"Very helpful content, thanks!"
SES158,Breakout: Cloud Computing,29/10/2024,3:00 am,REG222,5,The speaker was excellent and clear.
SES159,Workshop: Data Visualization,28/10/2024,2:00 pm,REG339,5,Loved the interactive parts of the event.
SES160,Fireside Chat: Innovation,27/10/2024,1:00 am,REG373,2,"Great insights, very useful."
SES161,Fireside Chat: Innovation,26/10/2024,12:00 pm,REG428,4,"Excellent session, learned a lot."
SES162,Workshop: Data Visualization,25/10/2024,11:00 pm,REG247,5,Amazing delivery of the topic.
SES163,Panel: Future of Tech,24/10/2024,10:00 am,REG478,3,"Excellent session, learned a lot."
SES164,Fireside Chat: Innovation,23/10/2024,9:00 pm,REG340,2,"Great experience, loved it!"
SES165,Panel: Future of Tech,22/10/2024,8:00 am,REG347,3,Loved the interactive parts of the event.
SES166,Workshop: Data Visualization,21/10/2024,7:00 pm,REG329,3,"Amazing presentation, super helpful."
SES167,Breakout: Cloud Computing,20/10/2024,6:00 am,REG498,5,"Very helpful content, thanks!"
SES168,Fireside Chat: Innovation,19/10/2024,5:00 pm,REG077,5,"Very helpful content, thanks!"
SES169,Panel: Future of Tech,18/10/2024,4:00 am,REG430,5,Loved the interactive parts of the event.
SES170,Fireside Chat: Innovation,17/10/2024,3:00 pm,REG424,2,Extremely informative workshop.
SES171,Panel: Future of Tech,16/10/2024,2:00 am,REG286,4,"Very helpful content, thanks!"
SES172,Fireside Chat: Innovation,15/10/2024,1:00 pm,REG457,4,Everything was well organized and smooth.
SES173,Fireside Chat: Innovation,14/10/2024,12:00 am,REG344,4,"Great insights, very useful."
SES174,Fireside Chat: Innovation,13/10/2024,11:00 am,REG028,5,Loved the interactive parts of the event.
SES175,Breakout: Cloud Computing,12/10/2024,10:00 pm,REG006,5,"Very helpful content, thanks!"
SES176,Fireside Chat: Innovation,11/10/2024,9:00 am,REG330,4,The speaker was excellent and clear.
SES177,Panel: Future of Tech,10/10/2024,8:00 pm,REG479,5,Loved the interactive parts of the event.
SES178,Breakout: Cloud Computing,09/10/2024,7:00 am,REG084,5,"Great insights, very useful."
SES179,Keynote: AI Trends,08/10/2024,6:00 pm,REG259,5,"Excellent session, learned a lot."
SES180,Panel: Future of Tech,07/10/2024,5:00 am,REG435,3,Amazing delivery of the topic.
SES181,Panel: Future of Tech,06/10/2024,4:00 pm,REG244,2,"Excellent session, learned a lot."
SES182,Keynote: AI Trends,05/10/2024,3:00 am,REG437,3,"Great experience, loved it!"
SES183,Breakout: Cloud Computing,04/10/2024,2:00 pm,REG254,2,Loved the interactive parts of the event.
SES184,Fireside Chat: Innovation,03/10/2024,1:00 am,REG446,4,"Amazing presentation, super helpful."
SES185,Panel: Future of Tech,02/10/2024,12:00 pm,REG085,5,"Very helpful content, thanks!"
SES186,Keynote: AI Trends,01/10/2024,11:00 pm,REG039,5,"Very helpful content, thanks!"
SES187,Fireside Chat: Innovation,30/09/2024,10:00 am,REG385,5,Loved the interactive parts of the event.
SES188,Breakout: Cloud Computing,29/09/2024,9:00 pm,REG252,2,Extremely informative workshop.
SES189,Panel: Future of Tech,28/09/2024,8:00 am,REG465,5,"Very helpful content, thanks!"
SES190,Fireside Chat: Innovation,27/09/2024,7:00 pm,REG424,5,Everything was well organized and smooth.
SES191,Fireside Chat: Innovation,26/09/2024,6:00 am,REG470,3,"Great insights, very useful."
SES192,Workshop: Data Visualization,25/09/2024,5:00 pm,REG497,5,Loved the interactive parts of the event.
SES193,Keynote: AI Trends,24/09/2024,4:00 am,REG443,5,"Very helpful content, thanks!"
SES194,Fireside Chat: Innovation,23/09/2024,3:00 pm,REG026,2,The speaker was excellent and clear.
SES195,Breakout: Cloud Computing,22/09/2024,2:00 am,REG260,5,Loved the interactive parts of the event.
SES196,Workshop: Data Visualization,21/09/2024,1:00 pm,REG445,5,"Great insights, very useful."
SES197,Fireside Chat: Innovation,20/09/2024,12:00 am,REG282,5,"Excellent session, learned a lot."
SES198,Fireside Chat: Innovation,19/09/2024,11:00 am,REG330,4,Amazing delivery of the topic.
SES199,Breakout: Cloud Computing,18/09/2024,10:00 pm,REG494,5,"Excellent session, learned a lot."
SES200,Workshop: Data Visualization,17/09/2024,9:00 am,REG207,5,"Great experience, loved it!"
SES201,Workshop: Data Visualization,16/09/2024,8:00 pm,REG449,3,Loved the interactive parts of the event.
SES202,Keynote: AI Trends,15/09/2024,7:00 am,REG424,5,"Amazing presentation, super helpful."
SES203,Fireside Chat: Innovation,14/09/2024,6:00 pm,REG044,3,"Very helpful content, thanks!"
SES204,Keynote: AI Trends,13/09/2024,5:00 am,REG236,5,"Very helpful content, thanks!"
SES205,Workshop: Data Visualization,12/09/2024,4:00 pm,REG228,5,Loved the interactive parts of the event.
SES206,Keynote: AI Trends,11/09/2024,3:00 am,REG444,5,Extremely informative workshop.
SES207,Breakout: Cloud Computing,10/09/2024,2:00 pm,REG294,4,"Very helpful content, thanks!"
SES208,Panel: Future of Tech,09/09/2024,1:00 am,REG230,3,Everything was well organized and smooth.
SES209,Breakout: Cloud Computing,08/09/2024,12:00 pm,REG046,3,"Great insights, very useful."
SES210,Workshop: Data Visualization,07/09/2024,11:00 pm,REG439,2,Loved the interactive parts of the event.
SES211,Breakout: Cloud Computing,06/09/2024,10:00 am,REG256,2,"Very helpful content, thanks!"
SES212,Workshop: Data Visualization,05/09/2024,9:00 pm,REG229,5,The speaker was excellent and clear.
SES213,Breakout: Cloud Computing,04/09/2024,8:00 am,REG462,3,Loved the interactive parts of the event.
SES214,Fireside Chat: Innovation,03/09/2024,7:00 pm,REG064,5,"Great insights, very useful."
SES215,Fireside Chat: Innovation,02/09/2024,6:00 am,REG255,5,"Excellent session, learned a lot."
SES216,Breakout: Cloud Computing,01/09/2024,5:00 pm,REG382,2,Amazing delivery of the topic.
SES217,Keynote: AI Trends,31/08/2024,4:00 am,REG335,3,"Excellent session, learned a lot."
SES218,Workshop: Data Visualization,30/08/2024,3:00 pm,REG040,4,"Great experience, loved it!"
SES219,Fireside Chat: Innovation,29/08/2024,2:00 am,REG053,4,Loved the interactive parts of the event.
SES220,Workshop: Data Visualization,28/08/2024,1:00 pm,REG207,3,"Amazing presentation, super helpful."
SES221,Fireside Chat: Innovation,27/08/2024,12:00 am,REG242,5,"Very helpful content, thanks!"
SES222,Panel: Future of Tech,26/08/2024,11:00 am,REG049,3,"Very helpful content, thanks!"
SES223,Breakout: Cloud Computing,25/08/2024,10:00 pm,REG286,5,Loved the interactive parts of the event.
SES224,Fireside Chat: Innovation,24/08/2024,9:00 am,REG282,2,Extremely informative workshop.
SES225,Breakout: Cloud Computing,23/08/2024,8:00 pm,REG004,5,"Very helpful content, thanks!"
SES226,Panel: Future of Tech,22/08/2024,7:00 am,REG423,5,Everything was well organized and smooth.
SES227,Workshop: Data Visualization,21/08/2024,6:00 pm,REG047,3,"Great insights, very useful."
SES228,Breakout: Cloud Computing,20/08/2024,5:00 am,REG406,3,Loved the interactive parts of the event.
SES229,Fireside Chat: Innovation,19/08/2024,4:00 pm,REG340,4,"Very helpful content, thanks!"
SES230,Panel: Future of Tech,18/08/2024,3:00 am,REG494,2,The speaker was excellent and clear.
SES231,Fireside Chat: Innovation,17/08/2024,2:00 pm,REG347,5,Loved the interactive parts of the event.
SES232,Panel: Future of Tech,16/08/2024,1:00 am,REG327,3,"Great insights, very useful."
SES233,Panel: Future of Tech,15/08/2024,12:00 pm,REG456,2,"Excellent session, learned a lot."
SES234,Fireside Chat: Innovation,14/08/2024,11:00 pm,REG456,2,Amazing delivery of the topic.
SES235,Breakout: Cloud Computing,13/08/2024,10:00 am,REG264,4,"Excellent session, learned a lot."
SES236,Workshop: Data Visualization,12/08/2024,9:00 pm,REG288,3,"Great experience, loved it!"
SES237,Workshop: Data Visualization,11/08/2024,8:00 am,REG406,3,Loved the interactive parts of the event.
SES238,Panel: Future of Tech,10/08/2024,7:00 pm,REG336,2,"Amazing presentation, super helpful."
SES239,Fireside Chat: Innovation,09/08/2024,6:00 am,REG344,3,"Very helpful content, thanks!"
SES240,Panel: Future of Tech,08/08/2024,5:00 pm,REG234,4,"Very helpful content, thanks!"
SES241,Workshop: Data Visualization,07/08/2024,4:00 am,REG487,4,Loved the interactive parts of the event.
SES242,Panel: Future of Tech,06/08/2024,3:00 pm,REG475,4,Extremely informative workshop.
SES243,Panel: Future of Tech,05/08/2024,2:00 am,REG487,3,"Very helpful content, thanks!"
SES244,Workshop: Data Visualization,04/08/2024,1:00 pm,REG423,3,Everything was well organized and smooth.
SES245,Breakout: Cloud Computing,03/08/2024,12:00 am,REG028,4,"Great insights, very useful."
SES246,Panel: Future of Tech,02/08/2024,11:00 am,REG449,5,Loved the interactive parts of the event.
SES247,Breakout: Cloud Computing,01/08/2024,10:00 pm,REG445,4,"Very helpful content, thanks!"
SES248,Panel: Future of Tech,31/07/2024,9:00 am,REG433,2,The speaker was excellent and clear.
